reviews
"NÃO RECOMENDO!!!! . Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj"
"Enganadores. Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes."
"Recebi apenas 1 unidade . Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece"
Produto nao funciona. Passei e-mail solicitando suporte para fazer o produto funciona
"Regular. Os outros produtos, a loja ofereceu mas não cumpriu com a entrega."
"bolo fake. Gostei do produto, porem fiquei preocupada não chegasse a tempo pois não foi atualizado o status da compra chegou no ultimo dia do prazo."
Não gostei do produto . Produto não corresponde às expectativas 
Péssima compra . Recebi um produto velho 
Empres não confiável . Minha opinião é que se comprei o produto ele tinha que ser entregue e não receber um notificação que seria dado como entregue o produto...então a empresa me devolva meu dinheiro!!
Ofertado/Pago lannister. Não interessa se opera Market Place. A compra foi feita no site da lannister e pago para lannister. Se tiver que ajuizar vai ser contra lannister e lá faça o regresso contra o fornecedor.
"Não é a melhor marca. tenho outro sling de outra marca com tecido muito mais macio, maleável e agradável"
"PRODUTO COM DEFEITO. Preciso alizar a troca do produto que está com defeito e não consigo registrar a solicitação no SITE. No item ""TROCAS E DEVOLUÇÕES"" sempre informa que está com problema de comunicação.
Aguardo retorn"
"Péssima muito Ruin. 
"
"PRODUTO COM MEDIDA INCORR. Produto chegou no prazo,porem, nao veio na medida correta.
Tentei entrar em contato para troca ou devolucao e nao obtive nenhuma resposta."
"Pedido veio errado . Comprei duas unidades, foi entregue somente uma. "
"Produto veio errado. Gostaria de saber sobre a devolução do produto,pois informaram que seria 48 horas pra confirmar a devolução e até o momento nada."
Produto ruim. O mocho não tem nem 6 meses de uso e a parte da estrutura já está rachando! Produto de péssima qualidade!
"Bom. Bom
"
"O pedido chegou faltando . O pedido, não chegou com a quantidade correta. Faltou o Suporte De Peito Cinta Peitoral Para Camera Gopro Go Pro, faltou um Adaptador Conector P2 Macho P10 Femea Estereo Microfone sendo 3."
Bom. A lixeira serve só pra por contonete e algodão sujo muito pequeno 
"Atraso na entrega . O produto está com a entrega em atraso.
Até o momento não obtive nenhum retorno do meu chamado que está em aberto! "
"O produto é diferent. Recebi o produto, porém veio da cor errada."
"Qualidade.. Recebi, mas porém, não é original.
Deveriam ser mais transparente, pq no site está constando que é uma peça original. "
Não recebi o produto . Não recebi o produto ainda 
"Nao era o que eu esperava. Comprei o relógio todo preto, com fecho preto, porém veio com fecho prata, e comprei com nome MVTM escrito dentro do relógio, veio sem o nome, na foto fecho preto, e com nome MVTM, não veio assim"
"Produto de baixa qualidad. Produto de baixa qualidade, na foto engana bem, bota esquerdo não tem função, o digital somente funciona se vc aperta um dos dois botões da direita e logo apaga, instrução em inglês e chinês. "
Recomendo. Bons produtos até hoje todos os meus pedidos recebi dentro do prazo e atenderam as expectativas 
"Produto errado . Pedi duas carteiras. Uma veio com defeito e outra veio errada, ñ é a q pedi.... pedi reembolso e creio q isso correrá bem."
"Entregaram produto errado. Comprei dois fones de ouvido com valor de R$ 50, 32 e entregaram o cabo para para iPhone no valor de r$ 10"
Devolução não efetuada. Solicitei a devolução e até agora não entraram em contato
"Veio faltando PEÇAS!!!!! . Produto veio faltando peças, solicito outro com urgência pois já realizei o pagamento!
Gostaria do contato, com urgência. "
"Outro modelo/original???. Recebi um modelo de relógio diferente do que comprei. O modelo Casio que comprei é o A680, porém, para minha surpresa recebi o A168. Fora isso tenho lá minhas dúvidas sobre a originalidade do produto."
Bonito só na foto. As funções dele é meramente ilustrativa não funcionam apenas a hora
"Produto veio cor errada . Produto está descrito preto, chegou branco. "
Propaganda enganosa . O produto veio.completamente diferente do anunciado e ainda veio com defeito quero a troca e quero o produto igual ao que eu pedi igual a que esta no anúncio. 
"Péssimo . Além de não entregar o produto, fiz uma reclamação é não deram nenhuma satisfação."
"O relógio não funciona . Entrega no prazo, produto correto, mas o relógio não funciona "
Ruim. Ruim
Não recebi meu pedido. a greve é dos caminhoneiros e não do Correios odiei
Entrega atrasada. Estou aguardando a entrega que já esta atrasada
Produto . O produto anunciado nao era exatamente o que eu recebi....no anunciado o esfigmomanometro viria com a escrita tycos ...e nao veio....
"Recebi só 1 de 3 itens. O site do stark consta meu pedido como totalmente entregue, mas recebi apenas 1 de 3 itens. Já comprei antes com a targaryen e gostei, a entrega foi super rápida. Mas não concordo com constar meu pedi"
não recebi o produto. Comprei faz meses esse relógio e até a presente data não recebi e me sinto lesado e prejudicado pois comprei com antecedência para dar de presente e não chegou até agora!
Cabo bom. O cabo chegou no prazo tá tudo certo Por enquanto vou testá-lo para ver a qualidade do produto
condiz com o anunciado. bom
BOA. TUDO OK
"Não recebi o produto. Comprei o produto e depois eles informaram que não tinham no estoque, mas no site da lannister ele continuava disponível para venda. Já solicitei o cancelamento da compra, porém não obtive resposta."
Produto não recebido. Já abri um chamado e não tenho resposta de quando terei o produto comprado.
"ilustração imcopativel . na foto do produto tinha um motor com cabo completo ,,,porem o que veio não era mesma marca e veio sem o plug de encaixe ....mas funcionou e veio o modelo certo....geladeira gelando muito
 "
"Tamanho da capa. A capa ficou enorme no colchão de berço tamanho padrão, não gostei"
"Produto errado. Recebi um produto totalmente diferente do que comprei, abri pedido de devolução no site dia 09/08 e ainda estou no aguardo de uma resposta."
Péssimo . Eu quero o meu produto. Eu paguei. E nao recebi. 
5. Achei q era um produto mais é outro
"Péssima entrega. Recebi apenas o copo térmico personalizado, mas a placa decorativa não."
produto errado. Não entregou o produto correto
"recramação. estou esperando a resposta do parceiro,da loja lannister e um resposta porque ate agora so estou me aborecendo,espero que no final de tudo dei certo muito obrigado."
